DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
96880751H,11,Marta,Martínez Martínez,Espanya,Bilbao,23,8,1995,Null,2047.14,,1.0,Grup C,Marta Martínez Martínez,True,No,1995-08-23,29,Grup C,0.02
87645157V,19,Joan,López,Espanya,Sevilla,13,10,1964,Hombre,2657.1,1.0,,Grup C,Joan López,True,Sí,1964-10-13,60,Grup C,0.02
23837247D,23,Miguel,Oliveira Pereira,Portugal,Lisboa,19,9,1978,Hombre,2293.98,,1.0,Grup C,Miguel Oliveira Pereira,False,No,1978-09-19,46,Grup C,0.02
24894099R,29,Tomás,Rodríguez Fernández,Argentina,Còrdova,20,4,1986,Hombre,2635.68,1.0,,Grup C,Tomás Rodríguez Fernández,False,Sí,1986-04-20,39,Grup C,0.02
52684613F,42,Núria,Castells,Espanya,Bilbao,14,11,1960,Null,2856.0,1.0,,Grup C,Núria Castells,True,Sí,1960-11-14,64,Grup C,0.02
13327616P,48,Tomás,Fernández Álvarez,Argentina,Còrdova,8,9,1958,Hombre,2530.62,,1.0,Grup C,Tomás Fernández Álvarez,False,No,1958-09-08,66,Grup C,0.02
32306507M,55,Laia,López,Espanya,Madrid,11,7,1964,Null,2104.26,1.0,,Grup C,Laia López,True,Sí,1964-07-11,61,Grup C,0.02
69153285Z,56,Pau,Sánchez,Espanya,Madrid,8,10,2001,Hombre,2132.82,,1.0,Grup C,Pau Sánchez,True,No,2001-10-08,23,Grup C,0.02
61151031X,57,Toni,Martínez,Espanya,València,12,9,1992,Hombre,2599.98,1.0,,Grup C,Toni Martínez,True,Sí,1992-09-12,32,Grup C,0.02
53037156T,60,José,Ramírez Hernández,Mèxic,Guadalajara,11,6,1966,Hombre,1967.58,,1.0,Grup C,José Ramírez Hernández,False,No,1966-06-11,59,Grup C,0.02
39421964W,74,Marta,Ferrer López,Espanya,Sevilla,19,7,1969,Null,2471.46,,1.0,Grup C,Marta Ferrer López,True,No,1969-07-19,55,Grup C,0.02
41282325G,82,Marc,García,Espanya,Madrid,19,10,1955,Hombre,2219.52,1.0,,Grup C,Marc García,True,Sí,1955-10-19,69,Grup C,0.02
90370999E,88,Marc,Sánchez López,Espanya,Bilbao,6,8,1990,Hombre,2026.74,,1.0,Grup C,Marc Sánchez López,True,No,1990-08-06,34,Grup C,0.02
82284855A,94,Pau,Romero Romero,Espanya,Madrid,6,12,1988,Hombre,2776.44,,1.0,Grup C,Pau Romero Romero,True,No,1988-12-06,36,Grup C,0.02
30477300W,102,Sophie,Brown,Regne Unit,Londres,12,5,1956,Mujer,1562.64,,1.0,Grup C,Sophie Brown,False,No,1956-05-12,69,Grup C,0.02
35957209T,106,Pau,López Martínez,Espanya,València,1,1,1988,Hombre,2861.1,,1.0,Grup C,Pau López Martínez,True,No,1988-01-01,37,Grup C,0.02
80887497Q,109,Toni,Ferrer,Espanya,Barcelona,12,4,1985,Hombre,2691.78,,1.0,Grup C,Toni Ferrer,True,No,1985-04-12,40,Grup C,0.02
85738042R,112,Toni,García,Espanya,Bilbao,28,10,1998,Hombre,2768.28,1.0,,Grup C,Toni García,True,Sí,1998-10-28,26,Grup C,0.02
98761038G,113,Olivia,Jones Brown,Regne Unit,Londres,20,1,1965,Otros,2509.2,1.0,,Grup C,Olivia Jones Brown,False,Sí,1965-01-20,60,Grup C,0.02
60585845J,116,Arnau,Castells Castells,Espanya,Madrid,7,11,1963,Hombre,2200.14,,1.0,Grup C,Arnau Castells Castells,True,No,1963-11-07,61,Grup C,0.02
98253101W,119,Arnau,Romero,Espanya,Madrid,26,6,1985,Hombre,2790.72,,1.0,Grup C,Arnau Romero,True,No,1985-06-26,40,Grup C,0.02
22972474K,124,Marta,Romero,Espanya,València,3,12,1958,Mujer,1562.64,,1.0,Grup C,Marta Romero,True,No,1958-12-03,66,Grup C,0.02
58619725P,137,Valentina,Castro,Colòmbia,Bogotà,2,9,1951,Mujer,2648.94,1.0,,Grup C,Valentina Castro,False,Sí,1951-09-02,73,Grup C,0.02
25710763B,146,Eva,Castells García,Espanya,Bilbao,18,3,1993,Mujer,2680.56,,1.0,Grup C,Eva Castells García,True,No,1993-03-18,32,Grup C,0.02
