Nom,Cognoms,DNI,País d'origen,Ciutat,Dia de Naixement,Mes de Naixement,Any de Naixement,Gènere,Salari mensual,Fills,No Fills,Grup Professional
Inês,Ferreira Silva,16928694K,Portugal,Lisboa,25,2,1953,D,1.144 €,,True,Grup B
Clara,Sánchez Martínez,27724652S,Espanya,Barcelona,18,3,1996,D,1.253 €,True,,Grup A
Fatima,Fassi,38141675A,Marroc,Rabat,6,11,2005,A,1.441 €,True,,Grup A
Khadija,Bennani Bennani,59157262R,Marroc,Rabat,20,1,1995,D,1.944 €,,True,Grup B
Toni,Sánchez García,69630528M,Espanya,Barcelona,9,8,1999,H,1.043 €,,True,Grup A
Laia,Castells Ferrer,26930927E,Espanya,Madrid,16,12,1953,A,2.611 €,,True,Grup D
Carla,García,78247593G,Espanya,València,24,12,1957,D,942 €,,True,Grup A
Marco,Rossi,21774231J,Itàlia,Torí,3,11,2002,A,1.494 €,,True,Grup A
Alessia,Rossi,87316866D,Itàlia,Milà,6,12,1989,D,1.366 €,,True,Grup A
Toni,Martínez,14219925Z,Espanya,Barcelona,16,5,1964,H,891 €,,True,Grup A
Oriol,Sánchez,40695825B,Espanya,Barcelona,27,7,1965,H,1.250 €,,True,Grup A
Marta,Martínez Martínez,96880751H,Espanya,Bilbao,23,8,1995,NC,2.007 €,,True,Grup C
Jean,Dubois,66129686T,França,Marsella,16,12,1964,H,1.593 €,True,,Grup A
Toni,Castells Romero,74222289K,Espanya,Barcelona,13,4,1961,H,1.438 €,,True,Grup B
Eva,Castells,83982081H,Espanya,Sevilla,3,5,1968,NC,1.247 €,True,,Grup A
Marta,Romero,33234964B,Espanya,Madrid,10,5,2001,D,2.810 €,True,,Grup D
Camila,Hernández Ramírez,86981189A,Mèxic,Guadalajara,17,12,1996,D,1.170 €,True,,Grup A
Núria,Castells,13107162J,Espanya,Barcelona,2,7,2005,D,1.344 €,True,,Grup A
Núria,García López,22021087Z,Espanya,Madrid,8,6,1969,D,1.374 €,,True,Grup B
Joan,López,87645157V,Espanya,Sevilla,13,10,1964,H,2.605 €,True,,Grup C
Toni,Castells Martínez,29801291B,Espanya,Barcelona,10,1,1981,H,2.102 €,True,,Grup B
Mia,Schneider Fischer,28973553Z,Alemanya,Berlín,22,10,1976,A,951 €,,True,Grup A
Laia,Martínez Sánchez,98967015K,Espanya,Madrid,14,6,1961,D,2.596 €,,True,Grup D
Miguel,Oliveira Pereira,23837247D,Portugal,Lisboa,19,9,1978,H,2.249 €,,True,Grup C
Chloé,Lefevre,83874145K,França,Marsella,10,9,1973,D,1.901 €,True,,Grup B
Clara,Ferrer,58465525T,Espanya,Madrid,17,7,1990,D,2.679 €,,True,Grup D
Marc,Romero Martínez,17029292R,Espanya,Bilbao,4,7,1993,H,2.027 €,True,,Grup B
Eva,Castells,43855905B,Espanya,Madrid,1,12,1965,D,879 €,,True,Grup A
Oriol,López Martínez,89977538X,Espanya,Barcelona,25,6,1952,H,1.019 €,True,,Grup A
Tomás,Rodríguez Fernández,24894099R,Argentina,Còrdova,20,4,1986,H,2.584 €,True,,Grup C
Núria,Ferrer Romero,47103299Z,Espanya,València,6,2,2003,NC,1.256 €,,True,Grup A
Oriol,López Ferrer,59690898N,Espanya,Barcelona,3,11,1969,H,1.498 €,True,,Grup B
Toni,Martínez Castells,60170471X,Espanya,Sevilla,20,4,1952,A,2.129 €,,True,Grup B
Matías,Gómez Álvarez,18876645B,Argentina,Buenos Aires,4,12,1955,H,1.313 €,,True,Grup A
Jordi,Sánchez,48870261R,Espanya,Bilbao,16,8,1962,H,742 €,,True,Grup A
Isla,Jones,37846341L,Regne Unit,Manchester,26,6,1985,D,1.412 €,True,,Grup B
Jordi,Romero,67466708W,Espanya,Barcelona,27,8,1968,H,808 €,,True,Grup A
Eva,Ferrer Martínez,33445957H,Espanya,Sevilla,4,5,1960,D,1.421 €,,True,Grup B
Carla,García,95012750D,Espanya,Sevilla,17,5,1952,D,963 €,True,,Grup A
Marc,Ferrer Ferrer,96482330F,Espanya,Bilbao,20,3,1974,H,1.550 €,True,,Grup B
Toni,López Sánchez,42754306Q,Espanya,Barcelona,25,2,1975,H,990 €,,True,Grup A
Anna,Martínez Martínez,17856143W,Espanya,Bilbao,26,9,1972,D,780 €,,True,Grup A
Núria,Castells,52684613F,Espanya,Bilbao,14,11,1960,NC,2.800 €,True,,Grup C
Toni,Martínez,38605068P,Espanya,Sevilla,24,7,1982,H,1.515 €,True,,Grup A
Pau,Martínez,90731738C,Espanya,Madrid,17,8,1999,H,1.971 €,,True,Grup B
Giulia,Conti,45888164B,Itàlia,Roma,8,7,1998,D,1.968 €,True,,Grup B
Anna,Sánchez,89187959Z,Espanya,Sevilla,21,10,1955,D,1.304 €,,True,Grup B
Pau,Ferrer,17851044J,Espanya,Bilbao,25,4,1957,H,1.319 €,True,,Grup B
Tomás,Fernández Álvarez,13327616P,Argentina,Còrdova,8,9,1958,H,2.481 €,,True,Grup C
Toni,Sánchez García,71226479A,Espanya,Bilbao,28,2,2000,H,1.381 €,,True,Grup A
Marta,López,10911456V,Espanya,Sevilla,6,6,1954,D,1.484 €,,True,Grup A
Joan,López,58027402M,Espanya,Madrid,5,3,1957,H,967 €,,True,Grup A
Eva,Ferrer,29075001G,Espanya,Madrid,27,1,1974,D,1.001 €,,True,Grup A
Joan,López,75145716V,Espanya,València,1,2,1952,H,1.502 €,,True,Grup A
Eva,López,16587202X,Espanya,Bilbao,16,12,1974,D,1.963 €,,True,Grup B
Laia,López,32306507M,Espanya,Madrid,11,7,1964,NC,2.063 €,True,,Grup C
Pau,Sánchez,69153285Z,Espanya,Madrid,8,10,2001,H,2.091 €,,True,Grup C
Toni,Martínez,61151031X,Espanya,València,12,9,1992,H,2.549 €,True,,Grup C
Andrés,González,43485739Q,Mèxic,Guadalajara,26,2,1992,H,2.279 €,True,,Grup B
Oriol,García,83083855T,Espanya,València,12,6,2002,H,1.288 €,True,,Grup A
José,Ramírez Hernández,53037156T,Mèxic,Guadalajara,11,6,1966,H,1.929 €,,True,Grup C
Jordi,Sánchez,66876326G,Espanya,València,19,6,1984,H,1.243 €,True,,Grup A
Clara,Sánchez López,32384138R,Espanya,València,27,7,1955,D,2.013 €,True,,Grup B
Anna,Castells Romero,27772301M,Espanya,València,25,8,1978,D,1.672 €,,True,Grup B
Eva,Sánchez,44988676P,Espanya,Bilbao,10,1,1977,D,1.887 €,,True,Grup B
Miguel,González,55802716W,Mèxic,Ciutat de Mèxic,22,3,2002,H,1.531 €,,True,Grup A
Joan,Ferrer,58904747N,Espanya,Bilbao,13,11,1994,H,1.521 €,,True,Grup B
Núria,Martínez,86310227T,Espanya,Madrid,19,3,1986,D,1.405 €,,True,Grup A
Michel,Lefevre,89245220G,França,París,21,8,1974,H,2.661 €,,True,Grup D
Valentina,Torres Torres,79942683D,Colòmbia,Medellín,24,7,1951,NC,1.252 €,,True,Grup A
Marc,Martínez,32447081S,Espanya,Sevilla,1,8,1977,H,3.040 €,,True,Grup D
Lea,Schneider,79911049R,Alemanya,Munic,22,9,1950,D,2.668 €,True,,Grup D
Joan,Castells,17393705Z,Espanya,Barcelona,10,12,1975,H,1.667 €,True,,Grup A
Anna,Martínez Martínez,94678339J,Espanya,Sevilla,10,4,1985,D,1.333 €,,True,Grup A
Marta,Ferrer López,39421964W,Espanya,Sevilla,19,7,1969,NC,2.423 €,,True,Grup C
Michel,Moreau,82819660N,França,Lió,2,5,1970,H,810 €,,True,Grup A
Anna,Sánchez García,63852668M,Espanya,Sevilla,13,7,1993,D,1.452 €,,True,Grup B
Anna,Ferrer Sánchez,98082914F,Espanya,Bilbao,21,10,1982,D,1.323 €,,True,Grup A
Khadija,Fassi,57230838V,Marroc,Rabat,10,5,1970,D,1.422 €,,True,Grup B
Clara,García,96108474K,Espanya,Sevilla,10,3,1955,D,809 €,,True,Grup A
Laia,Castells,31532532F,Espanya,Bilbao,19,4,1950,D,2.448 €,,True,Grup D
Valentina,Gutiérrez Castro,96617848Y,Colòmbia,Bogotà,2,1,2001,A,1.064 €,,True,Grup A
Marc,García,41282325G,Espanya,Madrid,19,10,1955,H,2.176 €,True,,Grup C
Arnau,Sánchez López,14944003P,Espanya,Barcelona,28,6,1960,H,1.116 €,,True,Grup A
Daniela,Castro Castro,34050427S,Colòmbia,Medellín,25,12,1980,D,1.167 €,,True,Grup A
Clara,Sánchez,64134967K,Espanya,Bilbao,1,10,1965,D,817 €,True,,Grup A
Marta,Romero,23876940J,Espanya,València,25,11,2002,D,1.258 €,,True,Grup B
Eva,Sánchez,17081236L,Espanya,Madrid,9,9,1992,D,2.885 €,True,,Grup D
Marc,Sánchez López,90370999E,Espanya,Bilbao,6,8,1990,H,1.987 €,,True,Grup C
Youssef,Bennani,98288475Z,Marroc,Casablanca,20,9,1957,H,780 €,True,,Grup A
Eva,Martínez,80981912X,Espanya,Barcelona,11,9,1974,D,783 €,,True,Grup A
Sophie,Taylor,49728917R,Regne Unit,Londres,27,2,1983,D,1.469 €,,True,Grup A
Mohamed,Zahraoui,64074954W,Marroc,Rabat,18,11,1950,H,1.496 €,,True,Grup A
Anna,Castells,31039740J,Espanya,Bilbao,20,3,1987,D,1.381 €,,True,Grup A
Pau,Romero Romero,82284855A,Espanya,Madrid,6,12,1988,H,2.722 €,,True,Grup C
Núria,Romero,45581974X,Espanya,Madrid,26,10,1993,D,1.352 €,True,,Grup B
Joan,Romero Romero,76740096F,Espanya,Barcelona,21,2,1999,H,1.543 €,True,,Grup A
Arnau,García,91110497A,Espanya,València,2,1,1954,H,2.126 €,,True,Grup B
Anna,Sánchez,42373200J,Espanya,Barcelona,17,7,1984,A,1.438 €,True,,Grup A
Carla,Martínez,97855153L,Espanya,Madrid,21,3,1973,D,2.850 €,,True,Grup D
Tiago,Ferreira,91877877E,Portugal,Porto,22,11,1993,H,1.246 €,True,,Grup A
Eva,Romero,92828803F,Espanya,València,16,4,1985,D,1.077 €,True,,Grup A
Sophie,Brown,30477300W,Regne Unit,Londres,12,5,1956,D,1.532 €,,True,Grup C
Felipe,Torres,24213568B,Colòmbia,Bogotà,19,3,1970,H,1.240 €,True,,Grup A
Laia,Martínez Ferrer,69934163X,Espanya,Bilbao,19,10,1956,D,981 €,True,,Grup A
Marta,Sánchez,48108194K,Espanya,Bilbao,1,9,1972,D,1.154 €,,True,Grup A
