DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
27724652S,1,Clara,Sánchez Martínez,Espanya,Barcelona,18,3,1996,Mujer,1315.65,1.0,,Grup A,Clara Sánchez Martínez,True,Sí,1996-03-18,29,Grup A,0.05
38141675A,2,Fatima,Fassi,Marroc,Rabat,6,11,2005,Otros,1513.05,1.0,,Grup A,Fatima Fassi,False,Sí,2005-11-06,19,Grup A,0.05
69630528M,4,Toni,Sánchez García,Espanya,Barcelona,9,8,1999,Hombre,1095.15,,1.0,Grup A,Toni Sánchez García,True,No,1999-08-09,25,Grup A,0.05
78247593G,6,Carla,García,Espanya,València,24,12,1957,Mujer,989.1,,1.0,Grup A,Carla García,True,No,1957-12-24,67,Grup A,0.05
21774231J,7,Marco,Rossi,Itàlia,Torí,3,11,2002,Otros,1568.7,,1.0,Grup A,Marco Rossi,False,No,2002-11-03,22,Grup A,0.05
87316866D,8,Alessia,Rossi,Itàlia,Milà,6,12,1989,Mujer,1434.3,,1.0,Grup A,Alessia Rossi,False,No,1989-12-06,35,Grup A,0.05
14219925Z,9,Toni,Martínez,Espanya,Barcelona,16,5,1964,Hombre,935.55,,1.0,Grup A,Toni Martínez,True,No,1964-05-16,61,Grup A,0.05
40695825B,10,Oriol,Sánchez,Espanya,Barcelona,27,7,1965,Hombre,1312.5,,1.0,Grup A,Oriol Sánchez,True,No,1965-07-27,59,Grup A,0.05
66129686T,12,Jean,Dubois,França,Marsella,16,12,1964,Hombre,1672.65,1.0,,Grup A,Jean Dubois,False,Sí,1964-12-16,60,Grup A,0.05
83982081H,14,Eva,Castells,Espanya,Sevilla,3,5,1968,Null,1309.35,1.0,,Grup A,Eva Castells,True,Sí,1968-05-03,57,Grup A,0.05
86981189A,16,Camila,Hernández Ramírez,Mèxic,Guadalajara,17,12,1996,Mujer,1228.5,1.0,,Grup A,Camila Hernández Ramírez,False,Sí,1996-12-17,28,Grup A,0.05
13107162J,17,Núria,Castells,Espanya,Barcelona,2,7,2005,Mujer,1411.2,1.0,,Grup A,Núria Castells,True,Sí,2005-07-02,20,Grup A,0.05
28973553Z,21,Mia,Schneider Fischer,Alemanya,Berlín,22,10,1976,Otros,998.55,,1.0,Grup A,Mia Schneider Fischer,False,No,1976-10-22,48,Grup A,0.05
43855905B,27,Eva,Castells,Espanya,Madrid,1,12,1965,Mujer,922.95,,1.0,Grup A,Eva Castells,True,No,1965-12-01,59,Grup A,0.05
89977538X,28,Oriol,López Martínez,Espanya,Barcelona,25,6,1952,Hombre,1069.95,1.0,,Grup A,Oriol López Martínez,True,Sí,1952-06-25,73,Grup A,0.05
47103299Z,30,Núria,Ferrer Romero,Espanya,València,6,2,2003,Null,1318.8,,1.0,Grup A,Núria Ferrer Romero,True,No,2003-02-06,22,Grup A,0.05
18876645B,33,Matías,Gómez Álvarez,Argentina,Buenos Aires,4,12,1955,Hombre,1378.65,,1.0,Grup A,Matías Gómez Álvarez,False,No,1955-12-04,69,Grup A,0.05
48870261R,34,Jordi,Sánchez,Espanya,Bilbao,16,8,1962,Hombre,779.1,,1.0,Grup A,Jordi Sánchez,True,No,1962-08-16,62,Grup A,0.05
67466708W,36,Jordi,Romero,Espanya,Barcelona,27,8,1968,Hombre,848.4,,1.0,Grup A,Jordi Romero,True,No,1968-08-27,56,Grup A,0.05
95012750D,38,Carla,García,Espanya,Sevilla,17,5,1952,Mujer,1011.15,1.0,,Grup A,Carla García,True,Sí,1952-05-17,73,Grup A,0.05
42754306Q,40,Toni,López Sánchez,Espanya,Barcelona,25,2,1975,Hombre,1039.5,,1.0,Grup A,Toni López Sánchez,True,No,1975-02-25,50,Grup A,0.05
17856143W,41,Anna,Martínez Martínez,Espanya,Bilbao,26,9,1972,Mujer,819.0,,1.0,Grup A,Anna Martínez Martínez,True,No,1972-09-26,52,Grup A,0.05
38605068P,43,Toni,Martínez,Espanya,Sevilla,24,7,1982,Hombre,1590.75,1.0,,Grup A,Toni Martínez,True,Sí,1982-07-24,42,Grup A,0.05
71226479A,49,Toni,Sánchez García,Espanya,Bilbao,28,2,2000,Hombre,1450.05,,1.0,Grup A,Toni Sánchez García,True,No,2000-02-28,25,Grup A,0.05
10911456V,50,Marta,López,Espanya,Sevilla,6,6,1954,Mujer,1558.2,,1.0,Grup A,Marta López,True,No,1954-06-06,71,Grup A,0.05
58027402M,51,Joan,López,Espanya,Madrid,5,3,1957,Hombre,1015.35,,1.0,Grup A,Joan López,True,No,1957-03-05,68,Grup A,0.05
29075001G,52,Eva,Ferrer,Espanya,Madrid,27,1,1974,Mujer,1051.05,,1.0,Grup A,Eva Ferrer,True,No,1974-01-27,51,Grup A,0.05
75145716V,53,Joan,López,Espanya,València,1,2,1952,Hombre,1577.1,,1.0,Grup A,Joan López,True,No,1952-02-01,73,Grup A,0.05
83083855T,59,Oriol,García,Espanya,València,12,6,2002,Hombre,1352.4,1.0,,Grup A,Oriol García,True,Sí,2002-06-12,23,Grup A,0.05
