DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
16928694K,0,Inês,Ferreira Silva,Portugal,Lisboa,25,2,1953,Mujer,1544.4,,1.0,Grup B,Inês Ferreira Silva,False,No,1953-02-25,72,Grup B,0.35
59157262R,3,Khadija,Bennani Bennani,Marroc,Rabat,20,1,1995,Mujer,2624.4,,1.0,Grup B,Khadija Bennani Bennani,False,No,1995-01-20,30,Grup B,0.35
74222289K,13,Toni,Castells Romero,Espanya,Barcelona,13,4,1961,Hombre,1941.3,,1.0,Grup B,Toni Castells Romero,True,No,1961-04-13,64,Grup B,0.35
22021087Z,18,Núria,García López,Espanya,Madrid,8,6,1969,Mujer,1854.9,,1.0,Grup B,Núria García López,True,No,1969-06-08,56,Grup B,0.35
29801291B,20,Toni,Castells Martínez,Espanya,Barcelona,10,1,1981,Hombre,2837.7,1.0,,Grup B,Toni Castells Martínez,True,Sí,1981-01-10,44,Grup B,0.35
83874145K,24,Chloé,Lefevre,França,Marsella,10,9,1973,Mujer,2566.35,1.0,,Grup B,Chloé Lefevre,False,Sí,1973-09-10,51,Grup B,0.35
17029292R,26,Marc,Romero Martínez,Espanya,Bilbao,4,7,1993,Hombre,2736.45,1.0,,Grup B,Marc Romero Martínez,True,Sí,1993-07-04,32,Grup B,0.35
59690898N,31,Oriol,López Ferrer,Espanya,Barcelona,3,11,1969,Hombre,2022.3,1.0,,Grup B,Oriol López Ferrer,True,Sí,1969-11-03,55,Grup B,0.35
60170471X,32,Toni,Martínez Castells,Espanya,Sevilla,20,4,1952,Otros,2874.15,,1.0,Grup B,Toni Martínez Castells,True,No,1952-04-20,73,Grup B,0.35
37846341L,35,Isla,Jones,Regne Unit,Manchester,26,6,1985,Mujer,1906.2,1.0,,Grup B,Isla Jones,False,Sí,1985-06-26,40,Grup B,0.35
33445957H,37,Eva,Ferrer Martínez,Espanya,Sevilla,4,5,1960,Mujer,1918.35,,1.0,Grup B,Eva Ferrer Martínez,True,No,1960-05-04,65,Grup B,0.35
96482330F,39,Marc,Ferrer Ferrer,Espanya,Bilbao,20,3,1974,Hombre,2092.5,1.0,,Grup B,Marc Ferrer Ferrer,True,Sí,1974-03-20,51,Grup B,0.35
90731738C,44,Pau,Martínez,Espanya,Madrid,17,8,1999,Hombre,2660.85,,1.0,Grup B,Pau Martínez,True,No,1999-08-17,25,Grup B,0.35
45888164B,45,Giulia,Conti,Itàlia,Roma,8,7,1998,Mujer,2656.8,1.0,,Grup B,Giulia Conti,False,Sí,1998-07-08,27,Grup B,0.35
89187959Z,46,Anna,Sánchez,Espanya,Sevilla,21,10,1955,Mujer,1760.4,,1.0,Grup B,Anna Sánchez,True,No,1955-10-21,69,Grup B,0.35
17851044J,47,Pau,Ferrer,Espanya,Bilbao,25,4,1957,Hombre,1780.65,1.0,,Grup B,Pau Ferrer,True,Sí,1957-04-25,68,Grup B,0.35
16587202X,54,Eva,López,Espanya,Bilbao,16,12,1974,Mujer,2650.05,,1.0,Grup B,Eva López,True,No,1974-12-16,50,Grup B,0.35
43485739Q,58,Andrés,González,Mèxic,Guadalajara,26,2,1992,Hombre,3076.65,1.0,,Grup B,Andrés González,False,Sí,1992-02-26,33,Grup B,0.35
32384138R,62,Clara,Sánchez López,Espanya,València,27,7,1955,Mujer,2717.55,1.0,,Grup B,Clara Sánchez López,True,Sí,1955-07-27,69,Grup B,0.35
27772301M,63,Anna,Castells Romero,Espanya,València,25,8,1978,Mujer,2257.2,,1.0,Grup B,Anna Castells Romero,True,No,1978-08-25,46,Grup B,0.35
44988676P,64,Eva,Sánchez,Espanya,Bilbao,10,1,1977,Mujer,2547.45,,1.0,Grup B,Eva Sánchez,True,No,1977-01-10,48,Grup B,0.35
58904747N,66,Joan,Ferrer,Espanya,Bilbao,13,11,1994,Hombre,2053.35,,1.0,Grup B,Joan Ferrer,True,No,1994-11-13,30,Grup B,0.35
63852668M,76,Anna,Sánchez García,Espanya,Sevilla,13,7,1993,Mujer,1960.2,,1.0,Grup B,Anna Sánchez García,True,No,1993-07-13,32,Grup B,0.35
57230838V,78,Khadija,Fassi,Marroc,Rabat,10,5,1970,Mujer,1919.7,,1.0,Grup B,Khadija Fassi,False,No,1970-05-10,55,Grup B,0.35
23876940J,86,Marta,Romero,Espanya,València,25,11,2002,Mujer,1698.3,,1.0,Grup B,Marta Romero,True,No,2002-11-25,22,Grup B,0.35
45581974X,95,Núria,Romero,Espanya,Madrid,26,10,1993,Mujer,1825.2,1.0,,Grup B,Núria Romero,True,Sí,1993-10-26,31,Grup B,0.35
91110497A,97,Arnau,García,Espanya,València,2,1,1954,Hombre,2870.1,,1.0,Grup B,Arnau García,True,No,1954-01-02,71,Grup B,0.35
