DNI,index,Nom,Cognoms,Pais,Ciutat,Dia,Mes,Any,Gènere,Salari mensual,Fills,No Fills,Grup Professional,Nom i Cognoms,Español,Hijos,Fecha Nacimiento,Edad Actual,Grup,Increment
26930927E,5,Laia,Castells Ferrer,Espanya,Madrid,16,12,1953,Otros,2819.88,,1.0,Grup D,Laia Castells Ferrer,True,No,1953-12-16,71,Grup D,0.08
33234964B,15,Marta,Romero,Espanya,Madrid,10,5,2001,Mujer,3034.8,1.0,,Grup D,Marta Romero,True,Sí,2001-05-10,24,Grup D,0.08
98967015K,22,Laia,Martínez Sánchez,Espanya,Madrid,14,6,1961,Mujer,2803.68,,1.0,Grup D,Laia Martínez Sánchez,True,No,1961-06-14,64,Grup D,0.08
58465525T,25,Clara,Ferrer,Espanya,Madrid,17,7,1990,Mujer,2893.32,,1.0,Grup D,Clara Ferrer,True,No,1990-07-17,34,Grup D,0.08
89245220G,68,Michel,Lefevre,França,París,21,8,1974,Hombre,2873.88,,1.0,Grup D,Michel Lefevre,False,No,1974-08-21,50,Grup D,0.08
32447081S,70,Marc,Martínez,Espanya,Sevilla,1,8,1977,Hombre,3283.2,,1.0,Grup D,Marc Martínez,True,No,1977-08-01,47,Grup D,0.08
79911049R,71,Lea,Schneider,Alemanya,Munic,22,9,1950,Mujer,2881.44,1.0,,Grup D,Lea Schneider,False,Sí,1950-09-22,74,Grup D,0.08
31532532F,80,Laia,Castells,Espanya,Bilbao,19,4,1950,Mujer,2643.84,,1.0,Grup D,Laia Castells,True,No,1950-04-19,75,Grup D,0.08
17081236L,87,Eva,Sánchez,Espanya,Madrid,9,9,1992,Mujer,3115.8,1.0,,Grup D,Eva Sánchez,True,Sí,1992-09-09,32,Grup D,0.08
97855153L,99,Carla,Martínez,Espanya,Madrid,21,3,1973,Mujer,3078.0,,1.0,Grup D,Carla Martínez,True,No,1973-03-21,52,Grup D,0.08
58847232T,115,Arnau,Sánchez García,Espanya,València,24,2,1978,Hombre,3545.64,,1.0,Grup D,Arnau Sánchez García,True,No,1978-02-24,47,Grup D,0.08
58966169Z,147,Núria,Sánchez Castells,Espanya,Madrid,12,5,1981,Null,2961.36,,1.0,Grup D,Núria Sánchez Castells,True,No,1981-05-12,44,Grup D,0.08
