id_x,name,surname,phone,email,birth_date,country,city,postal_code,address,id_y,card_id,business_id,timestamp,amount,declined,product_ids,user_id,lat,longitude
1,Zeus,Gamble,1-282-581-0551,interdum.enim@protonmail.edu,"Nov 17, 1985",United States,Lowell,73544,348-7818 Sagittis St.,,,,,,,,,,
10,Robert,Mccarthy,(324) 746-6771,fermentum@protonmail.com,"Apr 30, 1984",United States,Eugene,85526,"P.O. Box 773, 3594 Ornare St.",,,,,,,,,,
100,Melodie,Mclean,1-677-221-7152,risus.varius@google.ca,"Sep 15, 1989",United States,College,11838,Ap #644-8492 Sagittis St.,9EE639A3-2836-87C2-207F-AF3941834DB2,CcU-3393,b-2346,2021-08-09 08:17:46,368.83,0.0,"19, 7",100,-77.45,-1.17
101,Sarah,Beck,(358) 691-4345,vitae.risus@aol.couk,"Apr 9, 1983",United States,Great Falls,67129,"665-9047 In, Rd.",F85A7D75-2778-9D75-D776-3F41A828DE88,CcU-3393,b-2346,2021-10-10 01:46:36,135.93,0.0,"23, 97, 31, 3",101,24.17,88.28
102,Jasper,Landry,1-397-765-1118,consectetuer.euismod@aol.org,"Apr 16, 1982",United States,Columbus,11595,Ap #374-7325 Sodales Rd.,F843DC08-CCB5-2444-1B4E-5966289FBA8B,CcU-3393,b-2346,2021-04-27 08:12:28,18.08,0.0,"7, 53, 37",102,17.90,66.55
103,Upton,Chavez,(227) 785-6484,euismod.est@aol.ca,"Mar 15, 1986",United States,Essex,95631,"1990 Vel, Av.",CEED5D49-B28F-49A6-E967-9E7F74864190,CcU-3393,b-2346,2021-09-09 02:41:00,107.30,0.0,"19, 71, 41",103,-75.20,73.21
104,Martha,Barlow,(732) 326-5448,vulputate@hotmail.net,"Oct 29, 1988",United States,Chicago,41512,Ap #311-7103 In Avenue,51A4866C-484C-5529-8419-B7BBAD4E294D,CcU-3393,b-2346,2021-03-27 10:25:42,447.06,0.0,"5, 23, 37",104,74.87,-147.03
105,Hashim,Rose,(858) 313-6727,urna@icloud.com,"Mar 28, 1983",United States,Tacoma,99632,"8034 Tortor, Road",9A993DCE-716B-D784-9192-285C2A490AE8,CcU-3393,b-2346,2021-08-28 23:40:17,193.64,0.0,"61, 11, 23",105,66.71,-105.29
106,Tanner,Valenzuela,1-346-421-3135,nascetur.ridiculus@google.net,"Apr 6, 1993",United States,Naperville,31130,Ap #114-2616 Fusce Road,8C5C40B3-3988-EE44-126E-18147A9E62D2,CcU-3393,b-2346,2021-12-22 05:18:10,123.09,0.0,"37, 11, 2, 3",106,-32.73,-136.16
107,Victor,Valencia,(239) 569-1938,non.enim@hotmail.couk,"May 1, 1998",United States,Warren,15158,Ap #182-9926 At St.,7D0819EC-7363-6767-36C0-97C7E77D5E65,CcU-3393,b-2326,2021-05-09 15:36:26,158.89,0.0,"97, 79, 67",107,-26.26,26.87
108,Germaine,Suarez,1-931-750-6983,risus@icloud.com,"Feb 1, 1984",United States,Cleveland,36183,Ap #383-1856 Mauris Avenue,49CD105D-E569-3733-C8C8-3908ED7E1838,CcU-3393,b-2326,2021-12-24 23:43:59,411.81,0.0,43,108,-47.88,168.27
